epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
15,596.552,0.84383,0.53947,1.27399,0.98909,0.65634,0.69283,0.56623,0.78897,0.44512,1.20732,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,626.745,0.88694,0.54166,1.31977,0.68308,0.73333,0.7054,0.56027,0.84558,0.42822,1.22136,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,656.922,0.84223,0.52615,1.23801,0.80587,0.79206,0.79591,0.59183,0.98713,0.48293,1.35963,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,687.108,0.82808,0.51896,1.24617,0.9487,0.77474,0.82205,0.66082,0.71633,0.41857,1.138,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,717.389,0.79532,0.5064,1.22499,0.70995,0.77619,0.77888,0.62186,0.71241,0.42503,1.15416,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,747.599,0.81669,0.47399,1.24658,0.97907,0.77619,0.82261,0.62988,0.80382,0.42728,1.20285,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,777.807,0.81649,0.47281,1.21664,0.80823,0.85632,0.80265,0.63701,0.78388,0.40318,1.19141,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,808.013,0.76292,0.44245,1.19165,0.81694,0.77706,0.80576,0.59098,0.91807,0.43801,1.27935,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,838.373,0.8088,0.44882,1.22967,0.8807,0.78413,0.81021,0.64757,0.70384,0.39725,1.13855,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,868.796,0.81171,0.4735,1.21678,0.99581,0.63492,0.74428,0.61849,0.65777,0.42783,1.10405,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,899.23,0.79032,0.48395,1.21746,0.71926,0.71599,0.76101,0.61056,0.7206,0.44331,1.13834,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,929.708,0.74942,0.43954,1.19559,0.75293,0.72625,0.76911,0.60435,0.76739,0.43672,1.17747,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,960.123,0.74848,0.43993,1.20398,0.76427,0.73333,0.74437,0.6262,0.58562,0.39836,1.01684,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,990.425,0.80337,0.45171,1.21775,0.71727,0.73333,0.78263,0.63093,0.70332,0.43252,1.09051,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,1020.51,0.77815,0.42881,1.20028,0.77583,0.73333,0.7413,0.58624,0.79267,0.44118,1.13282,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,1050.61,0.75829,0.4386,1.19255,0.94189,0.70159,0.75754,0.61861,0.67772,0.39624,1.06789,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,1080.71,0.78365,0.44079,1.20598,0.74729,0.71746,0.76914,0.63254,0.60927,0.4394,1.05307,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,1110.82,0.7811,0.42348,1.21722,0.75943,0.79206,0.76608,0.5941,0.79096,0.42929,1.16007,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,1140.89,0.80261,0.45233,1.21604,0.7379,0.89494,0.79585,0.62589,0.7213,0.38627,1.11289,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
